,Unnamed: 0,index,row,name,light years from earth,planet mass,stellar magnitude,discovery date,planet type,planet radius,orbital period,solar system name,planet discovery method,host temperature (Cº),host mass,host radius,Tª type,distance type,planet radius [0],indice masa
25,25,25,1444,Kepler-101 b,3110.0,0.16 Jupiters,13.8,2014,Gas Giant,0.51 x Jupiter,3.5 days,Kepler-1016,Transit,2836.111111111112,0.99,1.0,muy caliente,criogenia,0.51,0.16
26,26,26,1445,Kepler-101 c,3110.0,3.78 Earths,13.8,2014,Super Earth,1.25 x Earth,6 days,Kepler-1017,Transit,2642.777777777778,0.93,0.87,muy caliente,criogenia,1.25,3.78
27,27,27,1446,Kepler-1020 b,1455.0,5.82 Earths,13.983,2016,Neptune-like,0.203 x Jupiter,96.9 days,Kepler-1018,Transit,2667.777777777778,0.91,0.88,muy caliente,criogenia,0.203,5.82
28,28,28,1447,Kepler-1021 b,2730.0,6.04 Earths,15.173,2016,Neptune-like,0.208 x Jupiter,13.5 days,Kepler-1019,Transit,2065.0,0.7,0.67,muy caliente,criogenia,0.208,6.04
29,29,29,1448,Kepler-1022 b,1484.0,6.17 Earths,15.377,2016,Neptune-like,0.211 x Jupiter,11 days,Kepler-102,Transit,2329.4444444444443,0.81,0.76,muy caliente,criogenia,0.211,6.17
30,30,30,1449,Kepler-1023 b,2238.0,7.41 Earths,14.502,2016,Neptune-like,0.235 x Jupiter,62.1 days,Kepler-102,Transit,2329.4444444444443,0.81,0.76,muy caliente,criogenia,0.235,7.41
31,31,31,1450,Kepler-1024 b,3317.0,14.5 Earths,16.006,2016,Neptune-like,0.349 x Jupiter,66.4 days,Kepler-102,Transit,2329.4444444444443,0.81,0.76,muy caliente,criogenia,0.349,14.5
32,32,32,1451,Kepler-1025 b,2336.0,4.58 Earths,13.556,2016,Super Earth,1.98 x Earth,37.3 days,Kepler-102,Transit,2329.4444444444443,0.81,0.76,muy caliente,criogenia,1.98,4.58
33,33,33,1452,Kepler-1026 b,1269.0,5.52 Earths,14.202,2016,Neptune-like,2.21 x Earth,36.5 days,Kepler-102,Transit,2329.4444444444443,0.81,0.76,muy caliente,criogenia,2.21,5.52
34,34,34,1453,Kepler-1027 b,949.0,0.64 Earths,12.84,2016,Terrestrial,0.89 x Earth,1.9 days,Kepler-1020,Transit,2506.111111111112,0.87,0.8,muy caliente,criogenia,0.89,0.64
35,35,35,1454,Kepler-1028 b,2065.0,2.33 Earths,14.31,2016,Super Earth,1.33 x Earth,2.5 days,Kepler-1021,Transit,2619.4444444444443,0.89,0.86,muy caliente,criogenia,1.33,2.33
36,36,36,1455,Kepler-1029 b,1377.0,2.13 Earths,14.301,2016,Super Earth,1.26 x Earth,4.4 days,Kepler-1022,Transit,2071.6666666666665,0.71,0.68,muy caliente,criogenia,1.26,2.13
37,37,37,1456,Kepler-102 b,353.0,4.3 Earths,11.478,2014,Terrestrial,0.47 x Earth,5.3 days,Kepler-1023,Transit,2654.4444444444443,0.93,0.89,muy caliente,lejos,0.47,4.3
