,Unnamed: 0_x,kepid_x,name,koi_impact_x,koi_prad_x,Unnamed: 0_y,description,discovery date,Unnamed: 0,kepid_y,koi_impact_y,koi_prad_y
45,68,12066335,Kepler-231 b,0.628,1.91,1092,"Kepler-230 b is a Neptune-like exoplanet that orbits a G-type star. Its mass is 16.8 Earths, it takes 32.6 days to complete one orbit of its star, and is 0.191 AU from its star. Its discovery was announced in 2014.",2014,68,12066335,0.628,1.91
46,69,12070811,Kepler-679 b,0.883,2.66,1926,"Kepler-676 b is a Neptune-like exoplanet that orbits an M-type star. Its mass is 9.48 Earths, it takes 11.6 days to complete one orbit of its star, and is 0.0798 AU from its star. Its discovery was announced in 2016.",2013,69,12070811,0.883,2.66
47,70,8395660,Kepler-106 e,0.852,2.87,95,"Kepler-106 e is a super Earth exoplanet that orbits a G-type star. Its mass is 11.17 Earths, it takes 43.8 days to complete one orbit of its star, and is 0.2395 AU from its star. Its discovery was announced in 2014.",2014,70,8395660,0.852,2.87
48,73,3342970,Kepler-234 b,0.023,3.12,1098,"Kepler-233 b is a Neptune-like exoplanet that orbits a G-type star. Its mass is 6.48 Earths, it takes 8.5 days to complete one orbit of its star, and is 0.077 AU from its star. Its discovery was announced in 2014.",2014,73,3342970,0.023,3.12
49,74,3342970,Kepler-234 c,0.012,3.32,1099,"Kepler-233 c is a Neptune-like exoplanet that orbits a G-type star. Its mass is 7.8 Earths, it takes 60.4 days to complete one orbit of its star, and is 0.287 AU from its star. Its discovery was announced in 2014.",2014,74,3342970,0.012,3.32
50,76,12470844,Kepler-233 b,0.022,2.59,1096,"Kepler-232 b is a Neptune-like exoplanet that orbits a G-type star. Its mass is 9.69 Earths, it takes 4.4 days to complete one orbit of its star, and is 0.054 AU from its star. Its discovery was announced in 2014.",2014,76,12470844,0.022,2.59
51,77,12470844,Kepler-233 c,0.094,2.36,1097,"Kepler-232 c is a Neptune-like exoplanet that orbits a G-type star. Its mass is 14 Earths, it takes 11.4 days to complete one orbit of its star, and is 0.101 AU from its star. Its discovery was announced in 2014.",2014,77,12470844,0.094,2.36
52,78,12644822,Kepler-682 b,0.55,7.4,1930,"Kepler-67 b is a Neptune-like exoplanet that orbits a G-type star. Its mass is 8.96 Earths, it takes 15.7 days to complete one orbit of its star, and is 0.1171 AU from its star. Its discovery was announced in 2013.",2016,78,12644822,0.55,7.4
53,81,2713049,Kepler-683 b,0.238,2.06,1931,"Kepler-680 b is a Neptune-like exoplanet that orbits a G-type star. Its mass is 6.44 Earths, it takes 3.7 days to complete one orbit of its star, and is 0.0469 AU from its star. Its discovery was announced in 2016.",2016,81,2713049,0.238,2.06
54,82,3114167,Kepler-684 b,0.838,2.77,1932,"Kepler-681 b is a Neptune-like exoplanet that orbits a K-type star. Its mass is 9.69 Earths, it takes 26.4 days to complete one orbit of its star, and is 0.1635 AU from its star. Its discovery was announced in 2016.",2016,82,3114167,0.838,2.77
55,85,4139816,Kepler-235 d,0.556,1.96,1102,"Kepler-235 b is a Neptune-like exoplanet that orbits a K-type star. Its mass is 5.6 Earths, it takes 3.3 days to complete one orbit of its star, and is 0.037 AU from its star. Its discovery was announced in 2014.",2014,85,4139816,0.556,1.96
56,86,4139816,Kepler-235 e,0.013,1.83,1103,"Kepler-235 c is a super Earth exoplanet that orbits a K-type star. Its mass is 2.18 Earths, it takes 7.8 days to complete one orbit of its star, and is 0.065 AU from its star. Its discovery was announced in 2014.",2014,86,4139816,0.013,1.83
57,87,8395660,Kepler-106 d,0.95,1.31,94,"Kepler-106 d is a terrestrial exoplanet that orbits a G-type star. Its mass is 8.1 Earths, it takes 24 days to complete one orbit of its star, and is 0.1602 AU from its star. Its discovery was announced in 2014.",2014,87,8395660,0.95,1.31
58,88,4139816,Kepler-235 c,0.708,1.2,1101,"Kepler-234 c is a Neptune-like exoplanet that orbits an F-type star. Its mass is 12.1 Earths, it takes 7.2 days to complete one orbit of its star, and is 0.077 AU from its star. Its discovery was announced in 2014.",2014,88,4139816,0.708,1.2
59,89,4275191,Kepler-688 b,0.524,7.34,1936,"Kepler-685 b is a gas giant exoplanet that orbits an F-type star. Its mass is 0.248 Jupiters, it takes 1.6 days to complete one orbit of its star, and is 0.0265 AU from its star. Its discovery was announced in 2016.",2016,89,4275191,0.524,7.34
60,90,4476123,Kepler-689 b,0.4,2.32,1937,"Kepler-686 b is a gas giant exoplanet that orbits a G-type star. Its mass is Unknown, it takes 1.6 days to complete one orbit of its star, and is 0.0258 AU from its star. Its discovery was announced in 2016.",2013,90,4476123,0.4,2.32
61,91,3351888,Kepler-685 b,0.076,9.73,1933,"Kepler-682 b is a gas giant exoplanet that orbits a G-type star. Its mass is 0.134 Jupiters, it takes 12.6 days to complete one orbit of its star, and is 0.1058 AU from its star. Its discovery was announced in 2016.",2016,91,3351888,0.076,9.73
62,96,3832474,Kepler-30 d,0.379,8.9,1320,"Kepler-30 b is a Neptune-like exoplanet that orbits a G-type star. Its mass is 11.3 Earths, it takes 29.3 days to complete one orbit of its star, and is 0.18 AU from its star. Its discovery was announced in 2012.",2014,96,3832474,0.379,8.9
63,97,8395660,Kepler-106 b,0.646,0.79,92,"Kepler-106 b is a terrestrial exoplanet that orbits a G-type star. Its mass is 5.3 Earths, it takes 6.2 days to complete one orbit of its star, and is 0.0648 AU from its star. Its discovery was announced in 2014.",2014,97,8395660,0.646,0.79
64,98,3832474,Kepler-30 c,0.224,12.19,1319,"Kepler-309 c is a Neptune-like exoplanet that orbits a K-type star. Its mass is 6.85 Earths, it takes 105.4 days to complete one orbit of its star, and is 0.401 AU from its star. Its discovery was announced in 2014.",2012,98,3832474,0.224,12.19
65,99,3832474,Kepler-30 b,0.3619,1.91,1318,"Kepler-309 b is a super Earth exoplanet that orbits a K-type star. Its mass is 3.05 Earths, it takes 5.9 days to complete one orbit of its star, and is 0.059 AU from its star. Its discovery was announced in 2014.",2012,99,3832474,0.3619,1.91
66,102,3935914,Kepler-686 b,0.514,11.3,1934,"Kepler-683 b is a super Earth exoplanet that orbits a G-type star. Its mass is 4.54 Earths, it takes 2.5 days to complete one orbit of its star, and is 0.0355 AU from its star. Its discovery was announced in 2016.",2016,102,3935914,0.514,11.3
67,104,4049131,Kepler-687 b,0.26,3.41,1935,"Kepler-684 b is a Neptune-like exoplanet that orbits a G-type star. Its mass is 11.2 Earths, it takes 6.8 days to complete one orbit of its star, and is 0.064 AU from its star. Its discovery was announced in 2016.",2016,104,4049131,0.26,3.41
68,105,4139816,Kepler-235 b,0.466,2.03,1100,"Kepler-234 b is a Neptune-like exoplanet that orbits an F-type star. Its mass is 13.2 Earths, it takes 2.7 days to complete one orbit of its star, and is 0.04 AU from its star. Its discovery was announced in 2014.",2014,105,4139816,0.466,2.03
69,107,5358241,Kepler-53 b,0.08,3.12,1739,"Kepler-538 b is a super Earth exoplanet that orbits a G-type star. Its mass is 10.6 Earths, it takes 81.7 days to complete one orbit of its star, and is 0.4669 AU from its star. Its discovery was announced in 2016.",2012,107,5358241,0.08,3.12
70,108,10875245,Kepler-107 c,0.529,1.7,108,"Kepler-107 c is a super Earth exoplanet that orbits a G-type star. Its mass is 9.39 Earths, it takes 4.9 days to complete one orbit of its star, and is 0.06064 AU from its star. Its discovery was announced in 2014.",2014,108,10875245,0.529,1.7
71,109,5358241,Kepler-53 d,0.949,2.76,1741,"Kepler-53 b is a gas giant exoplanet that orbits a G-type star. Its mass is 0.34925 Jupiters, it takes 18.6 days to complete one orbit of its star, and is 0.139 AU from its star. Its discovery was announced in 2012.",2016,109,5358241,0.949,2.76
72,110,5358241,Kepler-53 c,0.911,4.02,1740,"Kepler-539 b is a gas giant exoplanet that orbits a G-type star. Its mass is 0.97 Jupiters, it takes 125.6 days to complete one orbit of its star, and is 0.4988 AU from its star. Its discovery was announced in 2016.",2014,110,5358241,0.911,4.02
73,111,5358624,Kepler-428 b,0.12,11.58,1593,"Kepler-426 b is a gas giant exoplanet that orbits a G-type star. Its mass is 0.34 Jupiters, it takes 3.2 days to complete one orbit of its star, and is 0.0414 AU from its star. Its discovery was announced in 2014.",2011,111,5358624,0.12,11.58
74,113,4664847,Kepler-690 b,0.517,5.52,1940,"Kepler-689 b is a Neptune-like exoplanet that orbits a G-type star. Its mass is 8.7 Earths, it takes 22.4 days to complete one orbit of its star, and is 0.1449 AU from its star. Its discovery was announced in 2016.",2016,113,4664847,0.517,5.52
75,114,4725681,Kepler-236 c,0.416,1.8,1105,"Kepler-235 e is a Neptune-like exoplanet that orbits a K-type star. Its mass is 5.56 Earths, it takes 46.2 days to complete one orbit of its star, and is 0.213 AU from its star. Its discovery was announced in 2014.",2014,114,4725681,0.416,1.8
76,115,4725681,Kepler-236 b,0.888,1.82,1104,"Kepler-235 d is a super Earth exoplanet that orbits a K-type star. Its mass is 4.86 Earths, it takes 20.1 days to complete one orbit of its star, and is 0.122 AU from its star. Its discovery was announced in 2014.",2014,115,4725681,0.888,1.82
